,ACE/Chubb,,AETNA,,AFLAC,,Allstate,,Anthem,,CIGNA,,Mutual of Omaha,,Humana (MIPPA),,Humana (Achieve),,UHIC,,UHICA,
Missouri,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",10%,Both you and your spouse/partner must have a supplemental plan with Anthem.,10%,"You need to live with someone who is at least 50 years old.
",12%,You need to live with a spouse or domestic partner.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Montana,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 18 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with someone who is at least 18 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Nebraska,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,5%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Nevada,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
addional 3%","Live with someone 50+
Multiple-member",5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 5%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
New Hampshire,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,,No Supps,,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,,No Supps
New Jersey,7%,Both you and your spouse/partner must have a supplemental plan with Ace/Chubb.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,7%,Both you and your spouse/partner/family member must have a supplemental plan with AFLAC.,7%,Live with someone 50+,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,7%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,Both you and your spouse/partner must have a supplemental plan with Humana.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
New Mexico,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,,No Supps,,No Supps
New York,,No Supps,,No Supps,,No Supps,,No Supps,,Not accepting new Supps,,No Supps,,No Discount,,No Discount,,No Supps,,No Discount,,No Supps
North Carolina,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,15%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
North Dakota,,No Supps,,No discount,10%,Both you and your spouse/partner/family member must have a supplemental plan with AFLAC.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 4%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",10%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,,No Supps
Ohio,7%,Both you and your spouse/partner must have a supplemental plan with Ace/Chubb.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,Both you and your spouse/partner/family member must have a supplemental plan with AFLAC.,10%,Live with someone 50+,5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,7%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,12%,"You need to live with your spouse, partner, or a roomate for the last 12 months.",5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,Both you and your spouse/partner must have a supplemental plan with Humana.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,12%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
Oklahoma,7%%,Both you and your spouse/partner must have a supplemental plan with Ace/Chubb.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,Both you and your spouse/partner/family member must have a supplemental plan with AFLAC.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,20%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,7%,"You need to live with your spouse, partner, or a roomate for the last 12 months.",12%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,10%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,20%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
Oregon,,No Supps,5%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,7%,Live with someone 50+,,No Supps,11%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,,No Supps,12%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Pennsylvania,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,7%,Live with someone 50+,,No Supps,"6%
additional 14%","You need to live with a spouse or partner.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or domestic partner.,12%,"You need to live with spouse, civil or domestic partner.",12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,15%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
Rhode Island,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,,No Supps,,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,,No Discount,,No Supps,,No Supps,,No Supps
South Carolina,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,15%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
South Dakota,7%,You need to live with a spouse or someone who is at least 50 years old.,,No discount,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,5%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Tennessee,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,15%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
Texas,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with someone who is at least 18 years old.,12%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,20%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
Utah,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Vermont,,No Supps,,No discount,,No discount,,No Supps,,No Supps,,No Discount,,No Discount,,No Discount,,No Supps,,No Supps,,No Supps
Virginia,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,Both you and your spouse/partner must have a supplemental plan with AFLAC.,"7%
addional 3%","Live with someone 50+
Multiple-member",5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Washington,7%,Both you and your spouse/partner must have a supplemental plan with Ace/Chubb.,,No Supps,,No Supps,,No Supps,,No Supps,5%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,7%,Both you and your spouse/partner must have a supplemental plan with Mutual of Omaha.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
West Virginia,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Wisconsin,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",10%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 14%","You need to live with someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Wyoming,7%,You need to live with a spouse or someone who is at least 50 years old.,5%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,5%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps